foodname,price,score,location,name,category
대패삼겹 비빔밥,9000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
김치볶음밥,8000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
삼겹살 김치볶음밥,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
육개장 소곱창 전골,11000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
육개장 닭 전골,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
육개장 돼지찌개,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
소고기사골떡국,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
소고기무우국,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
돼지듬뿍 김치찌개,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
낙지김치죽,9400,4.5,광주광역시 남구 백운동 686 휴먼시아3단지아파트 2층 201호,앗뜨죽-광주남구점,한식
사골곰탕죽,8400,4.5,광주광역시 남구 백운동 686 휴먼시아3단지아파트 2층 201호,앗뜨죽-광주남구점,한식
달콤팥죽,9400,4.5,광주광역시 남구 백운동 686 휴먼시아3단지아파트 2층 201호,앗뜨죽-광주남구점,한식
호박죽,8400,4.5,광주광역시 남구 백운동 686 휴먼시아3단지아파트 2층 201호,앗뜨죽-광주남구점,한식
영양닭죽,8400,4.5,광주광역시 남구 백운동 686 휴먼시아3단지아파트 2층 201호,앗뜨죽-광주남구점,한식
참치김치죽,9400,4.5,광주광역시 남구 백운동 686 휴먼시아3단지아파트 2층 201호,앗뜨죽-광주남구점,한식
삼선짬뽕죽,9400,4.5,광주광역시 남구 백운동 686 휴먼시아3단지아파트 2층 201호,앗뜨죽-광주남구점,한식
해신죽,13400,4.5,광주광역시 남구 백운동 686 휴먼시아3단지아파트 2층 201호,앗뜨죽-광주남구점,한식
한우 육회비빔밥,11000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
한우 육회익힘비빔밥,11000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
기본 야채비빔밥,7000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
참치 비빔밥,8000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
우삼겹 비빔밥,9000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
대패 삼겹비빔밥,9000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
묵은지 김치찌개,11000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
묵은지 참치찌개,11000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
왕 소갈비탕,13000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
진한 뼈 해장국,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
소고기 사골떡국,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
한우 소곱창 전골,15000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
한우 소대창 전골,15000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,명품한우육회비빔밥,한식
육전,15000,4.4,광주 남구 백운동 590-6 1층,지짐,한식
깻잎전,13000,4.4,광주 남구 백운동 590-6 1층,지짐,한식
동태전,13000,4.4,광주 남구 백운동 590-6 1층,지짐,한식
고추전,13000,4.4,광주 남구 백운동 590-6 1층,지짐,한식
왕동그랑땡,14000,4.4,광주 남구 백운동 590-6 1층,지짐,한식
녹두빈대떡,14000,4.4,광주 남구 백운동 590-6 1층,지짐,한식
김치전,10000,4.4,광주 남구 백운동 590-6 1층,지짐,한식
갈치 조림 1인분,13000,4.4,광주광역시 동구 서석동 468-9 ,장터도시락&집밥,한식
갈치구이 1인분,13000,4.4,광주광역시 동구 서석동 468-9 ,장터도시락&집밥,한식
고등어 조림 1인분,12000,4.4,광주광역시 동구 서석동 468-9 ,장터도시락&집밥,한식
고등어 구이 1인분,11000,4.4,광주광역시 동구 서석동 468-9 ,장터도시락&집밥,한식
코다리찜 ,15000,4.4,광주광역시 동구 서석동 468-9 ,장터도시락&집밥,한식
갈비탕,11000,4.4,광주광역시 동구 지산동 507-2 1층,우미관-조선대점,한식
곰탕,9000,4.4,광주광역시 동구 지산동 507-2 1층,우미관-조선대점,한식
물갈비,15000,4.4,광주 북구 신안동 135-9 1층,물갈비명가-본점,한식
쟁반국수,15000,4.3,광주광역시 동구 충장로4가 12 ,장충동왕족발-광주충장점,한식
닭백숙,15000,3.9,광주광역시 동구 동명동 72-26 중앙빌라,동명백숙,한식
닭도리탕,15000,3.9,광주광역시 동구 동명동 72-26 중앙빌라,동명백숙,한식
김치찌개,8000,3,광주광역시 동구 동명동 72-26 중앙빌라,김프로보쌈,한식
제육볶음,9000,3,광주광역시 동구 동명동 72-26 중앙빌라,김프로보쌈,한식
삼겹살 볶음,9000,3,광주광역시 동구 동명동 72-26 중앙빌라,김프로보쌈,한식
